日期,訊號日期,持倉,賣出價,買入價,momentum,資產,回撤,日回報
2012-06-22,2012-06-21,AMZN,2.5032007694244385,11.107999801635742,0.20847020760650858,101725.68863507167,-0.4783661637520009,0.00720861415642382
2012-10-26,2012-10-25,GOOG,11.911999702453613,16.66875648498535,0.10208475587316457,101680.60170627711,-0.47859736265512276,-0.0038510140300699325
2012-11-07,2012-11-06,AVGO,16.47050666809082,2.4539079666137695,0.1373033583573895,98828.67777892007,-0.4932215941435083,-0.03741484446940069
2012-11-08,2012-11-07,TSM,2.4452357292175293,11.397477149963379,0.10503885331865703,98584.22832333062,-0.4944750937167115,-0.002473466822416448
2012-12-19,2012-12-18,GOOG,12.075813293457031,17.77877426147461,0.26315153406538805,103641.12070743088,-0.4685441198476188,-0.0013314226787555228
2012-12-20,2012-12-19,TSM,17.834325790405273,12.082881927490234,0.25482092571921466,103701.78752425463,-0.46823302965184477,0.0005853546971477108
2013-02-07,2013-02-06,TAN,12.930800437927246,16.002948760986328,0.28991978262926366,107980.75272754005,-0.4462911478704523,-0.012994123246655609
2013-02-08,2013-02-07,TSM,15.774707794189453,13.036788940429688,0.28511243396335684,108865.82696061768,-0.4417526220196146,0.008196592547478065
2013-02-15,2013-02-14,TAN,13.093318939208984,17.460155487060547,0.3283041662950126,107255.15496616933,-0.4500119026661714,-0.02116144979075718
2013-02-21,2013-02-20,TSM,16.85445213317871,13.206375122070312,0.307266349758639,107613.47865161122,-0.4481744733878492,-0.010587541990352722
2013-03-19,2013-03-18,GOOG,12.068746566772461,20.03065299987793,0.16921881983588882,99698.43085826783,-0.48876163283524676,0.004369969103315219
2013-03-25,2013-03-22,XLV,19.989177703857422,36.2465934753418,0.138986053113211,99286.22907223471,-0.49087534080657425,-0.0028932572655691047
2013-03-27,2013-03-26,TSM,36.853416442871094,12.132338523864746,0.15337838718964458,101027.0254110669,-0.4819488023428332,0.005857874436325572
2013-04-02,2013-04-01,XLV,12.089948654174805,37.816192626953125,0.15518449909446663,101959.01059624604,-0.4771697242751948,0.014542859531805119
2013-04-10,2013-04-09,TAN,38.3339958190918,15.72204303741455,0.21031860331519026,100865.20855202446,-0.4827785745477158,-0.007756119880428236
2013-04-11,2013-04-10,XLV,15.590364456176758,38.70618438720703,0.16318993536089055,101844.51886761973,-0.4777568204199676,0.009709099199355364
2013-04-12,2013-04-11,TAN,38.77900314331055,15.423576354980469,0.17501392247517322,100754.97064269353,-0.4833438577550926,-0.010698152802336103
2013-04-15,2013-04-12,XLV,14.60718822479248,38.07512283325195,0.17640762788624342,98926.16035291285,-0.49272171835282574,-0.018151067665596154
2013-04-19,2013-04-18,TSM,38.51200866699219,13.284104347229004,0.18650799778804994,103404.02830044976,-0.46975989359619963,0.04793783479236002
2013-04-23,2013-04-22,TAN,12.916669845581055,16.468202590942383,0.23852169961314784,105815.07280768106,-0.4573964246185306,0.039911248249743014
2013-07-12,2013-07-11,MSFT,22.297033309936523,29.037315368652344,0.35722171127909963,144878.71592585536,-0.25708401296550476,-0.0005598576302003888
2013-07-16,2013-07-15,TAN,29.525724411010742,24.403839111328125,0.4535864642844496,148188.808496189,-0.2401103624651546,0.008708247113747847
2013-12-10,2013-12-09,AMZN,30.873491287231445,19.388999938964844,0.4007204860400102,184908.3028605278,-0.1659407155356638,0.0075086772002228575
2013-12-11,2013-12-10,TAN,19.109500885009766,29.76741600036621,0.49215133204545647,178283.76849130314,-0.19582176636155602,-0.035826051435999484
2013-12-16,2013-12-13,AMZN,30.092212677001953,19.44849967956543,0.3818600346596104,179786.546753605,-0.18904323807064705,0.012310003523412716
2013-12-17,2013-12-16,TAN,19.38249969482422,30.812042236328125,0.3969027812529937,184087.1833372793,-0.16964451007287773,0.023920791968757626
2014-01-22,2014-01-21,AVGO,37.07889175415039,4.241065979003906,0.5005333391757922,222874.46655554767,-0.017261642950957112,0.018535197751338384
2014-02-19,2014-02-18,TAN,4.281878471374512,38.226219177246094,0.6768620452642662,223574.78651924484,-0.029627926085651235,-0.017824327435605025
2014-02-25,2014-02-24,AVGO,39.63146209716797,4.378352642059326,0.6444103962004715,230966.811253912,-0.009568452615303702,-0.009568452615303702
2014-02-28,2014-02-27,TAN,4.578718185424805,41.53477096557617,0.8089282334150516,237436.58021621357,-0.020150097043016624,-0.011849269429823228
2014-03-12,2014-03-11,AVGO,42.379695892333984,4.688547134399414,0.6166588028469204,246072.7185715591,-0.036652252315068856,0.018703451042465513
2014-03-20,2014-03-19,TAN,4.867338180541992,42.77992248535156,0.6502666386291835,247006.27530115293,-0.03299747994529556,-0.019567901731057824
2014-03-21,2014-03-20,AVGO,40.956661224365234,4.762255668640137,0.6202817205461708,241673.57827016994,-0.05387440487913231,-0.021589318022310566
2015-04-29,2015-04-28,AMZN,8.847443580627441,21.4685001373291,0.4955410259696691,450661.91741359624,-0.12625416115319377,0.00013977123367614475
2015-05-04,2015-05-01,AVGO,21.152000427246094,9.159669876098633,0.4562561614674727,437911.8629155425,-0.1509740379217479,-0.013355527657419874
2015-05-06,2015-05-05,AMZN,8.828545570373535,20.954999923706055,0.37887121500157894,420022.7997499496,-0.18565745335544992,-0.004962122471174668
2015-05-08,2015-05-07,AVGO,21.684499740600586,9.323726654052734,0.44429329353064495,430789.03389078495,-0.16478381855934165,0.006940080766254519
2015-05-11,2015-05-08,AMZN,9.28441333770752,21.642499923706055,0.4625994488166487,429954.6563049507,-0.16640151447612506,-0.0019368589267426684
2015-05-13,2015-05-12,AVGO,21.3435001373291,9.30860424041748,0.4552916992855769,428763.6198068444,-0.16871070268112698,0.0014638057183944397
2015-06-10,2015-06-09,AMZN,10.800189018249512,21.53849983215332,0.36096982602940564,494309.96131554653,-0.04162909020864536,0.012433000950446749
2015-06-11,2015-06-10,AVGO,21.648500442504883,10.734416961669922,0.42785038637366424,491299.6637468128,-0.04746547192349493,-0.006089898655333936
2015-06-19,2015-06-18,AMZN,10.832971572875977,21.746000289916992,0.4891546940776006,491144.366063468,-0.04776656393806722,-0.010173162897968435
2015-10-23,2015-10-22,NVDA,29.951499938964844,0.6938995122909546,0.30056674931245353,641070.1724804637,-0.009538718943250535,0.006690573513554288
2015-10-26,2015-10-23,AMZN,0.690744161605835,30.430500030517578,0.36590207163221566,651322.5028123544,0.0,0.01599252433196474
2015-11-09,2015-11-06,NVDA,32.77450180053711,0.7623429298400879,0.5428693480163995,702513.8822187304,-0.0044369912525840105,-0.0044369912525841215
2015-11-11,2015-11-10,AMZN,0.7404991388320923,33.662498474121094,0.5453885701708316,703269.2776910352,-0.0033664874401515554,0.02057049753208151
2015-12-09,2015-12-08,NVDA,33.239498138427734,0.7969096302986145,0.5756481334496384,689611.3123801195,-0.02781047821921878,-0.0253274138226407
2015-12-10,2015-12-09,AMZN,0.8034873604774475,33.11600112915039,0.5354180409265195,687049.1517154761,-0.031422521273860804,-0.0037153692502526203
2015-12-11,2015-12-10,NVDA,32.00749969482422,0.7915494441986084,0.5748236508814915,676841.2310236645,-0.04581328511080651,-0.014857627967844289
2015-12-15,2015-12-14,AMZN,0.8032435774803162,32.93199920654297,0.5398351750143857,679260.6858215826,-0.04240242371579839,0.001109544564889875
2015-12-16,2015-12-15,NVDA,33.78850173950195,0.8081162571907043,0.5400577913466116,683381.2537970523,-0.036593393414785846,0.006066254181170239
2015-12-17,2015-12-16,AMZN,0.7959347367286682,33.532501220703125,0.5379732070883447,678203.5765843065,-0.043892698752485915,-0.007576557278937912
2015-12-22,2015-12-21,NVDA,33.157501220703125,0.8022690415382385,0.5628596531802657,672607.1097842121,-0.051782398768089544,0.0009118369931122583
